name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
Your Shape featuring Jenny McCarthy,Sports,2009,Ubisoft,2.12,62,52,10,Ubisoft,E,Wii,2009,No
NBA 2K12,Sports,2011,Take-Two Interactive,2.11,90,67,23,Visual Concepts,E,PS3,2011,No
Dynasty Warriors 4,Action,2003,Tecmo Koei,2.11,78,93,-15,Omega Force,T,PS2,2003,No
NBA 2K14,Sports,2013,Take-Two Interactive,2.11,84,49,35,Visual Concepts,E,PS3,2013,Yes
Tetris DS,Puzzle,2006,Nintendo,2.1,84,87,-3,Nintendo,E,DS,2006,No
Devil May Cry 3: Dante's Awakening,Action,2005,Capcom,2.09,84,90,-6,Capcom,M,PS2,2005,No
NBA 2K11,Action,2010,Take-Two Interactive,2.09,89,81,8,Visual Concepts,E,X360,2010,No
Dead Rising,Action,2006,Capcom,2.08,85,76,9,Capcom,M,X360,2006,No
Need for Speed: Most Wanted 5-1-0,Racing,2005,Electronic Arts,2.07,72,78,-6,EA,E10+,PSP,2005,No
Dance Dance Revolution: Hottest Party,Simulation,2007,Konami Digital Entertainment,2.07,73,71,2,Konami,E10+,Wii,2007,No
UFC 2009 Undisputed,Fighting,2009,Other,2.06,83,79,4,Yuke's,T,X360,2009,No
SoulCalibur II,Fighting,2003,Other,2.06,92,88,4,Namco,T,PS2,2003,No
Need for Speed: ProStreet,Racing,2007,Electronic Arts,2.05,72,71,1,EA,E10+,X360,2007,No
Need For Speed: Undercover,Racing,2008,Electronic Arts,2.05,59,59,0,EA,T,PS3,2008,No
Peter Jackson's King Kong: The Official Game of the Movie,Action,2005,Ubisoft,2.04,82,82,0,Ubisoft,T,PS2,2005,No
Need for Speed: ProStreet,Racing,2007,Electronic Arts,2.04,73,60,13,EA,E10+,PS3,2007,No
NBA Live 2004,Sports,2003,Electronic Arts,2.03,86,77,9,EA,E,PS2,2003,No
Rayman Raving Rabbids: TV Party,Misc,2008,Ubisoft,2.03,73,77,-4,Ubisoft,E10+,Wii,2008,No
Just Dance 3,Misc,2011,Ubisoft,2.02,70,77,-7,Ubisoft,E10+,X360,2011,No
Battlefield 4,Shooter,2013,Electronic Arts,2.02,81,66,15,EA,M,XOne,2013,No
Dead Space,Action,2008,Electronic Arts,2,88,88,0,EA,M,PS3,2008,No
Mortal Kombat vs. DC Universe,Fighting,2008,Midway Games,2,76,71,5,Midway,T,PS3,2008,No
Skate 3,Sports,2010,Electronic Arts,1.98,80,76,4,EA,T,PS3,2010,No
Devil May Cry 2,Action,2003,Capcom,1.97,68,66,2,Capcom,M,PS2,2003,No
Tom Clancy's Rainbow Six: Vegas,Shooter,2006,Ubisoft,1.95,88,83,5,Ubisoft,M,X360,2006,No
Crash Nitro Kart,Racing,2003,Other,1.95,69,77,-8,Vicarious Visions,E,PS2,2003,No
Resident Evil 6,Shooter,2012,Capcom,1.95,67,50,17,Capcom,M,X360,2012,No
NBA Street Vol. 2,Sports,2003,Electronic Arts,1.95,90,88,2,EA,E,PS2,2003,No
FIFA Soccer 09,Sports,2008,Electronic Arts,1.94,87,80,7,EA,E,X360,2008,No
Tom Clancy's Ghost Recon,Shooter,2002,Ubisoft,1.94,63,83,-20,Ubisoft,M,PS2,2002,No
Mortal Kombat vs. DC Universe,Fighting,2008,Midway Games,1.93,72,75,-3,Midway,T,X360,2008,No
The Sims: Makin' Magic,Simulation,2003,Electronic Arts,1.92,80,86,-6,Maxis,T,PC,2003,No
Guitar Hero: World Tour,Misc,2008,Activision,1.92,84,75,9,Neversoft Entertainment,T,PS3,2008,No
Monopoly,Misc,2008,Electronic Arts,1.89,70,78,-8,EA,E,Wii,2008,No
Madden NFL 09,Sports,2008,Electronic Arts,1.88,85,44,41,EA,E,PS3,2008,Yes
Game Party 2,Misc,2008,Midway Games,1.88,29,46,-17,Midway,E,Wii,2008,No
Mortal Kombat: Deception,Fighting,2004,Midway Games,1.88,81,85,-4,Midway,M,PS2,2004,No
NBA 2K17,Sports,2016,Take-Two Interactive,1.88,88,67,21,Visual Concepts,E,PS4,2016,No
Madden NFL 25,Sports,2013,Electronic Arts,1.87,76,41,35,EA,E,PS3,2013,Yes
Dynasty Warriors 3,Action,2001,Other,1.87,78,91,-13,Omega Force,T,PS2,2001,No
Madden NFL 06,Sports,2005,Electronic Arts,1.86,86,67,19,EA,E,XB,2005,No
NBA Live 2002,Sports,2001,Electronic Arts,1.86,70,74,-4,EA,E,PS2,2001,No
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,1.84,82,79,3,TT Games,E10+,PS3,2013,No
NCAA Football 06,Sports,2005,Electronic Arts,1.84,87,85,2,EA,E,PS2,2005,No
Rayman Raving Rabbids 2,Misc,2007,Ubisoft,1.83,67,83,-16,Ubisoft,E10+,Wii,2007,No
The Sims: Hot Date,Simulation,2001,Electronic Arts,1.82,85,79,6,Maxis,T,PC,2001,No
DDRMAX2: Dance Dance Revolution,Simulation,2003,Konami Digital Entertainment,1.81,82,82,0,Konami,E,PS2,2003,No
Madden NFL 07,Sports,2006,Electronic Arts,1.8,80,60,20,EA,E,X360,2006,No
NBA 2K11,Action,2010,Take-Two Interactive,1.8,89,76,13,Visual Concepts,E,PS3,2010,No
